cntry,agea,gndr,hinctnta,eisced,rlgdgr,imsmetn,imdfetn,rlgdnm
Бельгия,-1.7009011708642872,1,0.23419045474914985,1,0.8230922110919111,1,1,Islam
Бельгия,-0.8129147064666631,2,-0.13750603605970035,1,1.6284541000591195,3,3,Roman_Catholic
Бельгия,1.1295556844031398,1,0.605886945558,1,0.42041126660830686,2,2,Roman_Catholic
Бельгия,-1.4789045547648811,2,-0.8808990176774008,1,0.017730322124702585,2,2,Roman_Catholic
Бельгия,-1.5899028628145842,1,1.3492799271757003,0,1.6284541000591195,1,1,Roman_Catholic
Бельгия,-0.9794121685412176,2,1.3492799271757003,1,0.42041126660830686,1,1,Protestant
Бельгия,-2.033896095013396,2,-0.5092025268685505,0,-0.7876315668425059,2,2,Roman_Catholic
Бельгия,-0.2579231662181479,1,-0.5092025268685505,0,0.8230922110919111,3,3,Islam
Бельгия,-1.9783969409885447,1,0.605886945558,0,0.42041126660830686,2,2,Roman_Catholic
Бельгия,0.24156922000551567,2,-0.5092025268685505,1,0.017730322124702585,2,2,Roman_Catholic
Бельгия,-0.70191639841696,1,1.3492799271757003,1,-2.398355344776923,2,2,Roman_Catholic
Бельгия,-1.7009011708642872,2,0.605886945558,0,1.6284541000591195,1,1,Protestant
Бельгия,0.7965607602540308,2,-0.5092025268685505,0,0.8230922110919111,1,2,Roman_Catholic
Бельгия,-0.2024240121932964,2,-0.5092025268685505,1,0.42041126660830686,1,2,Roman_Catholic
Бельгия,-0.31342232024299943,1,1.3492799271757003,1,-1.5929934558097143,1,2,Roman_Catholic
Бельгия,0.7410616062291793,2,-0.8808990176774008,0,0.8230922110919111,3,4,Roman_Catholic
Бельгия,-1.7009011708642872,2,-0.13750603605970035,0,1.6284541000591195,2,2,Islam
Бельгия,-0.9239130145163661,1,-0.8808990176774008,1,0.8230922110919111,3,2,Islam
Бельгия,-1.034911322566069,2,-0.5092025268685505,0,1.6284541000591195,3,3,Eastern_Orthodox
Бельгия,1.0740565303782883,2,-0.8808990176774008,1,0.42041126660830686,2,3,Roman_Catholic
